,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,signal,position,trade,strategy_return,strategy_equity,buy_hold
2008-08-12,1.4893,1.4963,1.4816,1.4913,0.0014101531023367,0.0014091597701746,0.1526511052712935,1.1526511052712936,1.2363580151491729,-0.03122999425230037,1.5546600000000002,1.56118,11.25628140703509,0,0.0,0.0,0.0,1.0638620198801063,1.1526511052713024
2008-08-13,1.4914,1.4978,1.4841,1.4922,0.0006035003017501,0.0006033182686773,0.1533467305611373,1.1533467305611371,1.2363580151491729,-0.03122999425230037,1.5501749999999999,1.5601740000000002,12.148594377509852,0,0.0,0.0,0.0,1.0638620198801063,1.1533467305611462
2008-08-14,1.4921,1.4948,1.4777,1.4801,-0.0081088325961666,-0.0081418879942708,0.1439944349976809,1.143994434997681,1.2363580151491729,-0.03122999425230037,1.54489,1.5586120000000003,8.202764976958449,0,0.0,0.0,-0.0,1.0638620198801063,1.1439944349976898
2008-08-15,1.4823,1.4824,1.4658,1.4687,-0.0077021822849807,-0.0077319972833263,0.1351831813263251,1.1351831813263251,1.2363580151491729,-0.03122999425230037,1.539095,1.556432,5.128205128204954,0,0.0,0.0,-0.0,1.0638620198801063,1.1351831813263342
2008-08-18,1.4683,1.4766,1.4672,1.4678,-0.0006127868182745,-0.0006129746488542,0.1344875560364813,1.134487556036481,1.2363580151491729,-0.03122999425230037,1.5328650000000001,1.5545060000000002,5.853658536585172,0,0.0,0.0,-0.0,1.0638620198801063,1.1344875560364907
2008-08-19,1.4678,1.4793,1.463,1.478,0.0069491756370076,0.0069251413971845,0.1423713093213785,1.1423713093213783,1.2363580151491729,-0.03122999425230037,1.527815,1.553158,14.464285714285552,0,0.0,0.0,0.0,1.0638620198801063,1.1423713093213879
2008-08-20,1.4781,1.4804,1.4672,1.4743,-0.0025033829499323,-0.002506521652373,0.1395115164631315,1.1395115164631315,1.2363580151491729,-0.03122999425230037,1.52311,1.551532,12.411971830985763,0,0.0,0.0,-0.0,1.0638620198801063,1.1395115164631409
2008-08-21,1.4742,1.4908,1.4731,1.4896,0.0103778064166044,0.0103243266670285,0.1513371463904773,1.1513371463904774,1.2363580151491729,-0.03122999425230037,1.51921,1.5504260000000003,23.407643312101868,0,0.0,0.0,0.0,1.0638620198801063,1.1513371463904867
2008-08-22,1.4896,1.4899,1.4757,1.479,-0.0071160042964554,-0.0071414438120028,0.1431442263100939,1.143144226310094,1.2363580151491729,-0.03122999425230037,1.51462,1.549246,21.064301552106457,0,0.0,0.0,-0.0,1.0638620198801063,1.1431442263101033
2008-08-25,1.4788,1.4807,1.4696,1.4752,-0.0025693035835023,-0.0025726099084704,0.1402071417529753,1.140207141752975,1.2363580151491729,-0.03122999425230037,1.509695,1.547816,22.47634069400631,0,0.0,0.0,-0.0,1.0638620198801063,1.1402071417529849
2008-08-26,1.4753,1.476,1.457,1.4642,-0.0074566160520608,-0.0074845555897871,0.1317050548771057,1.1317050548771057,1.2363580151491729,-0.03122999425230037,1.5049899999999998,1.5460899999999997,21.252796420581646,0,0.0,0.0,-0.0,1.0638620198801063,1.1317050548771153
2008-08-27,1.4642,1.4775,1.4633,1.4713,0.0048490643354732,0.0048373454913589,0.1371927654969851,1.1371927654969851,1.2363580151491729,-0.03122999425230037,1.500675,1.544468,26.90854119425552,0,0.0,0.0,0.0,1.0638620198801063,1.1371927654969947
2008-08-28,1.4714,1.4808,1.4671,1.4697,-0.0010874736627473,-0.0010880653912625,0.1359560983150403,1.1359560983150403,1.2363580151491729,-0.03122999425230037,1.4961749999999998,1.5428600000000001,34.90196078431376,0,0.0,0.0,-0.0,1.0638620198801063,1.1359560983150498
